wallet_id,fraud_label,fraud_score,wallet_address
126,-1,-0.006122576523283629,0x0089c302191f061af205499241f12516229c846d
130,-1,-0.016416024922340844,0x00a0f5d5097aad56f63afcff11dc4138a017979d
166,-1,-0.024725220413163496,0x0106ae58191d852c4dff930a7e81db0d00c98678
184,-1,-0.024725220413163496,0x012d018f0f901167aad5ba810d2f3d763fcef538
426,-1,-0.02298306747406853,0x0417645951a0965cb25bdcbe6bc0802036f996a5
465,-1,-0.04637912417657719,0x047f7d99f18c23baab7ce08abc665347b6102b1b
500,-1,-0.022391341882252114,0x04f249036a5506f4c5dabb617f07c47aa548818c
703,-1,-0.004134907174110136,0x072f380e65dd25a2cd5260e26b77e6dac076932c
867,-1,-0.004369993683493778,0x08c804773142169de3b76597c2e78657aac7a346
901,-1,-0.04513348956220864,0x090344b55d1079d41f212e9fc30780230d180038
903,-1,-0.04513348956220864,0x09038ff4c23907a5ed936fb52ae585830d180038
944,-1,-0.008263754191404127,0x09361e781ec7f1d67400673b1ff6fbfa3fccf058
1016,-1,-0.002975270455075063,0x09e694699db3a5284ae168d19262a3315f7c5deb
1148,-1,-0.00288149374237201,0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a
1156,-1,-0.02298306747406853,0x0b7eff2b8be8aa6bb622808f9012922353ebd1fa
1364,-1,-0.007421133508602407,0x0dab57c5fefff1f242f743940c8ffa00328b5d79
1437,-1,-0.04588061748278882,0x0e6ac7b258780891be58825aa73e250f25c53369
1484,-1,-0.057627864872008105,0x0eeed5f7a9054078a7fb72527283b7bab0a8b4f8
1647,-1,-0.02298306747406853,0x10967facef33f27804b9f0c4d682bd7a75897d8a
1731,-1,-0.006610607774663713,0x1157a2076b9bb22a85cc2c162f20fab3898f4101
1863,-1,-0.057627864872008105,0x129d24cfa6c9249269a5ea1ee7a89b8029e137b1
1987,-1,-0.02333385555925327,0x142800d85a668265a7e3429369473ebca87742a4
2000,-1,-0.02298306747406853,0x143adb5c506a61371c7a13afcb0382ae7577e9fc
2064,-1,-0.020499856816934225,0x14b381f4ebbd607202bf28b272b0a181a6248af0
2159,-1,-0.02298306747406853,0x159b6726f7662487b76e5972a4316cce73d5dbfd
2217,-1,-0.05532354320720445,0x1651a65f3f5e31411b32930f518bb12c49ea4e6b
2236,-1,-0.0018357287201444805,0x1689a089aa12d6cbbd88bc2755e4c192f8702000
2240,-1,-0.003258648314406032,0x16905697103cd4ad6a22193b242941b62f660bbc
2497,-1,-0.0013348001955414412,0x18e296053cbdf986196903e889b7dca7a73882f6
2600,-1,-0.02298306747406853,0x19cfeda1ef488ae8271cc551718f165b6086a7f8
2687,-1,-0.02298306747406853,0x1a8c6e23d1864d0fd22a2a2e06a785419117276d
2764,-1,-0.057627864872008105,0x1b3da9616e6133feeea0dd769858fb08d4d4cd04
2800,-1,-0.02298306747406853,0x1b9c05df9abba6ef8fba6f9212b923b4b41fcaa3
3445,-1,-0.057627864872008105,0x2271dba71b48c46197ae7cce89810382512c51c3
3457,-1,-0.02218593267300073,0x228bec415ade4b61d7caf0adf8c91eac587ba369
3610,-1,-0.003023937701971069,0x23cb5da4dedc158594a7f54a82c18a25b63ec761
3697,-1,-0.002554754612945298,0x24a7d048254fb7481379ae50412a5a70b19af977
3746,-1,-0.04637912417657719,0x25402335c9b315ebd684026f1e7d476fde546664
3764,-1,-0.07668887776106781,0x256ba19d77f3d2e17c5d24d8100d36338d007093
3815,-1,-0.024725220413163496,0x25eeacc89b13fd77958ce9558090b247978eeda3
3872,-1,-0.010525745074856707,0x265c7ea6318f6e89cd4b37909cf13f9aa2cb48c7
3945,-1,-0.003258648314406032,0x27000b5842077b40956369687bd88760e15d6a79
3977,-1,-0.05507122237595563,0x27586db22f34fa6cb93656ab21f5cdc05beaa8b6
