from_address,to_address,value,block_timestamp,gas,gas_price
0x6018336d49d78d3e7178e3703a68466d1d6e1d8b,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,0,2026-02-09 05:04:35.000000 UTC,312393,37022079
0x82b3e30d22ac5a9002e9f30f15429e9617f06ee6,0x1659fcc56967e7ce32372d5a62f9fdf4444062a5,504752291515625,2026-02-09 05:04:35.000000 UTC,21000,5037022079
0x7ee19ca32fdccf5328bdaae675ef3102b45d8652,0x82b3e30d22ac5a9002e9f30f15429e9617f06ee6,13053497651968031,2026-02-09 05:04:35.000000 UTC,21000,5037022079
0x6928f3e126dbac9923d52300fdef714b280b305c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,2026-02-09 05:04:35.000000 UTC,100000,5037022079
0xdcaa3d290f457fcec77b7a0a51499b84bd5e49cf,0xdac17f958d2ee523a2206206994597c13d831ec7,0,2026-02-09 05:04:35.000000 UTC,70000,4992677260
0x3e0a91dc5848e17765e3167249a2cb018cbb60ee,0x4bf9663370a10a8ddef5f68748700e1fbe3ee8c8,37000000000000,2026-02-09 05:04:35.000000 UTC,21000,3037379483
0x0abbc482fbd91dbf413e3d6cc5622e03552ac13a,0xfa3cf540c61e94749c83cb46c98928630bf36e40,75672374337000,2026-02-09 05:04:35.000000 UTC,21000,3037022079
0xb4c3c1a27458c1c64a0991e0d88c1b80674e888e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,2026-02-09 05:04:35.000000 UTC,60000,3037022079
0x17283574da3da48f89ee353a8a3262e75c1a5bcd,0x841c38e22fe0f40b97e931600515892afb59e350,93020575762493000,2026-02-09 05:04:35.000000 UTC,21000,3037022079
0x8e677f4fdfd8a0d28b29d31780697e274be1bb83,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,2026-02-09 05:04:35.000000 UTC,60000,3037022079
0x43b719b9c6cf849dca549765ba1af00f3dfc4ac1,0x7f9a31995e3cd1b7baaef35b84e1715fa206911b,102402000000000000,2026-02-09 05:04:35.000000 UTC,23100,3000000000
0x32a6fea7383cb20bd52e81be56b5aec091725d43,0xdac17f958d2ee523a2206206994597c13d831ec7,0,2026-02-09 05:04:35.000000 UTC,65000,3000000000
0xab97925eb84fe0260779f58b7cb08d77dcb1ee2b,0x5cbd15d48ac85035f57736dffd3f279f923d267d,20000000000000000,2026-02-09 05:04:35.000000 UTC,90000,2037022079
0x5abe090e75b88dba9b695cb9916dfc04a20033a1,0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,4045798758158000,2026-02-09 05:04:35.000000 UTC,21000,2037022079
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xa12cc123ba206d4031d1c7f6223d1c2ec249f4f3,0,2026-02-09 05:04:35.000000 UTC,90000,2037022079
0x5cbd15d48ac85035f57736dffd3f279f923d267d,0x56a3ba04e95d34268a19b2a4474dc979babdaf76,0,2026-02-09 05:04:35.000000 UTC,90000,2037022079
0xaa8ba7d4611437141192e7ceced531bc0a133efb,0xdac17f958d2ee523a2206206994597c13d831ec7,0,2026-02-09 05:04:35.000000 UTC,48905,2037022079
0x5cbd15d48ac85035f57736dffd3f279f923d267d,0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467,0,2026-02-09 05:04:35.000000 UTC,90000,2037022079
0x8cbb0abd45dac2dd85b90e3d9aa1eff27c6427cc,0xc932cdc6945ed9b66a7451616c2982d13d1dac50,115044390000000000,2026-02-09 05:04:35.000000 UTC,21000,2000000000
0x98a7a20ee68b99bad455e4562a0ea5fa37ddfe43,0x937509352a393cc97ee97a837aa553491c691158,108713540000000000,2026-02-09 05:04:35.000000 UTC,21000,2000000000
0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0,2026-02-09 05:04:35.000000 UTC,220436,1037022079
0x4acb6c4321253548a7d4bb9c84032cc4ee04bfd7,0x0000000000001ff3684f28c67538d4d072c22734,0,2026-02-09 05:04:35.000000 UTC,216596,1037022079
0x6dc7c2082f72ffc9bae0613cf00977e60f6daf6f,0xdac17f958d2ee523a2206206994597c13d831ec7,0,2026-02-09 05:04:35.000000 UTC,46225,1037022079
